Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2/11/2011,354.7526,357.8,353.5401,356.85,13127600,0,1,45.59065352,45.98228689,45.43483037,45.86019865,91893200
2/10/2011,357.39,360,348,354.54,33162500,0,1,45.92959618,46.26501755,44.7228503,45.56333145,232137500
2/9/2011,355.19,359,354.87,358.16,17240900,0,1,45.64686551,46.13650362,45.60574105,46.02855191,120686300
2/8/2011,353.68,355.52,352.15,355.2,13608600,0,1,45.45280947,45.68927511,45.25618314,45.64815065,95260200
2/7/2011,347.89,353.25,347.64,351.88,17322200,0,1,44.70871377,45.39754848,44.67658528,45.22148438,121255400
2/4/2011,343.64,346.7,343.51,346.5,11494300,0,1,44.16252953,44.55578218,44.14582272,44.5300794,80460100
2/3/2011,343.8,344.24,338.55,343.44,14064200,0,1,44.18309176,44.2396379,43.50839359,44.13682675,98449400
2/2/2011,344.45,345.25,343.55,344.32,9248400,0,1,44.26662582,44.36943697,44.15096328,44.24991901,64738800
2/1/2011,341.3,345.65,340.98,345.03,15236900,0,1,43.86180692,44.42084255,43.82068246,44.34116391,106658300
1/31/2011,335.8,340.04,334.3,339.32,13473100,0,1,43.15498026,43.69987936,42.96220936,43.60734932,94311700
1/28/2011,344.17,344.4,333.528,336.1,21144900,0,1,44.23064192,44.26020013,42.8629966,43.19353444,148014300
